2012,Country Name
4089,Luxembourg
3678,Norway
3437,Austria
3263,United States
3065,United Kingdom
3035,Belgium
3023,Sweden
2997,Ireland
2925,Finland
2903,"Korea,  Republic of"
2886,France
2724,Canada
272,Germany
2616,Singapore
261,Australia
2605,Cyprus
2522,Japan
2445,Italy
2431,Iceland
2352,Spain
23,Greece
2283,New Zealand
1838,South Africa
1808,Malta
1804,Israel
1786,Czech Republic
1756,Croatia
1731,Turkey
169,Qatar
1545,Hong Kong
1536,Poland
1385,Slovakia
1374,Hungary
1345,Macedonia
1338,Bosnia & Herzegovina
1267,Estonia
1215,Russian Federation
1135,Jamaica
1109,Lithuania
1108,Argentina
1098,Latvia
1058,Serbia
1021,Chile
996,Botswana
961,Malaysia
959,Belarus
954,Romania
917,Bahrain
831,Panama
783,Mauritius
778,Brazil
758,Macau China
753,Kazakhstan
750,Bulgaria
692,Colombia
686,Ukraine
656,China
609,Mexico
603,Georgia
596,Azerbaijan
548,Egypt
489,Thailand
471,Armenia
462,Dominican Republic
438,Moldova
415,"Mongolia,  Republic of"
364,Syrian Arab Republic
336,Kyrgyzstan Republic
295,India
279,Philippines
255,Pakistan
227,Tajikistan
